_id,deviceID,lowPulseOccupancy,Ratio,concentration,timestamp
6697de6fef447e0007c30214,device01,880492,0.146748662,76.85094452,Wed Jul 17 2024 15:08:31 GMT+0000 (Coordinated Universal Time)
6697e0c9ef447e0007c30215,device01,2185375,0.364229172,189.5682068,Wed Jul 17 2024 15:18:33 GMT+0000 (Coordinated Universal Time)
6697e324ef447e0007c30216,device01,1855283,0.309213847,161.0803833,Wed Jul 17 2024 15:28:36 GMT+0000 (Coordinated Universal Time)
6697e57eef447e0007c30217,device01,646481,0.107746832,56.60560989,Wed Jul 17 2024 15:38:38 GMT+0000 (Coordinated Universal Time)
6697e7d7ef447e0007c30218,device01,751720,0.125286669,65.711586,Wed Jul 17 2024 15:48:39 GMT+0000 (Coordinated Universal Time)
6697ea32ef447e0007c30219,device01,172780,0.028796667,15.5911417,Wed Jul 17 2024 15:58:42 GMT+0000 (Coordinated Universal Time)
6697ec8bef447e0007c3021a,device01,244669,0.040778168,21.81840324,Wed Jul 17 2024 16:08:43 GMT+0000 (Coordinated Universal Time)
6697eee5ef447e0007c3021b,device01,361597,0.060266167,31.94484711,Wed Jul 17 2024 16:18:45 GMT+0000 (Coordinated Universal Time)
6697f13fef447e0007c3021c,device01,542512,0.090418667,47.60745239,Wed Jul 17 2024 16:28:47 GMT+0000 (Coordinated Universal Time)
6697f399ef447e0007c3021d,device01,633314,0.105552331,55.46616745,Wed Jul 17 2024 16:38:49 GMT+0000 (Coordinated Universal Time)
6697f5f4ef447e0007c3021e,device01,222435,0.037072498,19.89253235,Wed Jul 17 2024 16:48:52 GMT+0000 (Coordinated Universal Time)
6697f84eef447e0007c3021f,device01,106399,0.017733166,9.840058327,Wed Jul 17 2024 16:58:54 GMT+0000 (Coordinated Universal Time)
6697faa8ef447e0007c30220,device01,161662,0.026943667,14.62796974,Wed Jul 17 2024 17:08:56 GMT+0000 (Coordinated Universal Time)
6697fd01ef447e0007c30221,device01,384931,0.064155169,33.96533585,Wed Jul 17 2024 17:18:57 GMT+0000 (Coordinated Universal Time)
6697ff5bef447e0007c30222,device01,1105528,0.184254661,96.3102951,Wed Jul 17 2024 17:28:59 GMT+0000 (Coordinated Universal Time)
669801b5ef447e0007c30223,device01,214487,0.035747834,19.20406723,Wed Jul 17 2024 17:39:01 GMT+0000 (Coordinated Universal Time)
6698040fef447e0007c30224,device01,399157,0.066526167,35.19711304,Wed Jul 17 2024 17:49:03 GMT+0000 (Coordinated Universal Time)
6698066aef447e0007c30225,device01,15402,0.002567,1.954814911,Wed Jul 17 2024 17:59:06 GMT+0000 (Coordinated Universal Time)
669808c4ef447e0007c30226,device01,88125,0.0146875,8.25668335,Wed Jul 17 2024 18:09:08 GMT+0000 (Coordinated Universal Time)
66980b1def447e0007c30227,device01,158276,0.026379334,14.33463001,Wed Jul 17 2024 18:19:09 GMT+0000 (Coordinated Universal Time)
66980d78ef447e0007c30228,device01,460690,0.076781668,40.52456284,Wed Jul 17 2024 18:29:12 GMT+0000 (Coordinated Universal Time)
66980fd1ef447e0007c30229,device01,329703,0.054950502,29.18296814,Wed Jul 17 2024 18:39:13 GMT+0000 (Coordinated Universal Time)
6698122bef447e0007c3022a,device01,469884,0.078313999,41.32049942,Wed Jul 17 2024 18:49:15 GMT+0000 (Coordinated Universal Time)
66981485ef447e0007c3022b,device01,331464,0.055243999,29.33546829,Wed Jul 17 2024 18:59:17 GMT+0000 (Coordinated Universal Time)
669816dfef447e0007c3022c,device01,785718,0.130952999,68.65286255,Wed Jul 17 2024 19:09:19 GMT+0000 (Coordinated Universal Time)
66981939ef447e0007c3022d,device01,80108,0.013351333,7.562018394,Wed Jul 17 2024 19:19:21 GMT+0000 (Coordinated Universal Time)
66981b94ef447e0007c3022e,device01,29756,0.004959333,3.198760033,Wed Jul 17 2024 19:29:24 GMT+0000 (Coordinated Universal Time)
66981deeef447e0007c3022f,device01,72628,0.012104667,6.913872242,Wed Jul 17 2024 19:39:26 GMT+0000 (Coordinated Universal Time)
66982049ef447e0007c30230,device01,52126,0.008687667,5.137300491,Wed Jul 17 2024 19:49:29 GMT+0000 (Coordinated Universal Time)
669822a3ef447e0007c30231,device01,244889,0.040814832,21.83745766,Wed Jul 17 2024 19:59:31 GMT+0000 (Coordinated Universal Time)
669824fdef447e0007c30232,device01,208749,0.034791499,18.70702553,Wed Jul 17 2024 20:09:33 GMT+0000 (Coordinated Universal Time)
66982757ef447e0007c30233,device01,55934,0.009322333,5.467284203,Wed Jul 17 2024 20:19:35 GMT+0000 (Coordinated Universal Time)
669829b2ef447e0007c30234,device01,67836,0.011306,6.498635769,Wed Jul 17 2024 20:29:38 GMT+0000 (Coordinated Universal Time)
66982c0cef447e0007c30235,device01,42562,0.007093667,4.308516026,Wed Jul 17 2024 20:39:40 GMT+0000 (Coordinated Universal Time)
66982e65ef447e0007c30236,device01,111626,0.018604333,10.29294395,Wed Jul 17 2024 20:49:41 GMT+0000 (Coordinated Universal Time)
669830bfef447e0007c30237,device01,194634,0.032439001,17.48431969,Wed Jul 17 2024 20:59:43 GMT+0000 (Coordinated Universal Time)
6698331aef447e0007c30238,device01,147300,0.02455,13.38372612,Wed Jul 17 2024 21:09:46 GMT+0000 (Coordinated Universal Time)
66983573ef447e0007c30239,device01,229658,0.038276333,20.51818848,Wed Jul 17 2024 21:19:47 GMT+0000 (Coordinated Universal Time)
669837ceef447e0007c3023a,device01,10913,0.001818833,1.565780759,Wed Jul 17 2024 21:29:50 GMT+0000 (Coordinated Universal Time)
66983a27ef447e0007c3023b,device01,396227,0.066037834,34.9434166,Wed Jul 17 2024 21:39:51 GMT+0000 (Coordinated Universal Time)
66983c82ef447e0007c3023c,device01,544749,0.090791501,47.80108261,Wed Jul 17 2024 21:49:54 GMT+0000 (Coordinated Universal Time)
66983edbef447e0007c3023d,device01,142299,0.0237165,12.95045662,Wed Jul 17 2024 21:59:55 GMT+0000 (Coordinated Universal Time)
66984135ef447e0007c3023e,device01,496667,0.082777835,43.63906097,Wed Jul 17 2024 22:09:57 GMT+0000 (Coordinated Universal Time)
66984390ef447e0007c3023f,device01,472310,0.078718334,41.53052139,Wed Jul 17 2024 22:20:00 GMT+0000 (Coordinated Universal Time)
